No,캐릭터명,명랑도_점수,명랑도_확신도,외향성_점수,외향성_확신도,자기확신_점수,자기확신_확신도,기행성_점수,기행성_확신도,장난기_점수,장난기_확신도,노력성_점수,노력성_확신도,천재성_점수,천재성_확신도,역경성_점수,역경성_확신도,이성성_점수,이성성_확신도,충동성_점수,충동성_확신도,배려성_점수,배려성_확신도,독립성_점수,독립성_확신도,완벽주의_점수,완벽주의_확신도,승부집착_점수,승부집착_확신도,책임감_점수,책임감_확신도,평균확신도,저확신수,저확신항목,공식프로필URL,NamuWiki문서후보URL
1,스페셜 위크,4,0.85,3,0.72,3,0.72,1,0.88,2,0.52,4,0.88,2,0.62,3,0.72,2,0.62,2,0.62,3,0.8,2,0.62,3,0.62,3,0.8,3,0.8,0.7193,1,장난기,https://umamusume.jp/character/specialweek,https://namu.wiki/w/스페셜 위크(우마무스메 프리티 더비)
2,사일런스 스즈카,1,0.88,0,0.88,3,0.72,1,0.88,1,0.72,2,0.62,4,0.88,2,0.52,4,0.62,1,0.85,2,0.62,4,0.9,3,0.62,3,0.62,2,0.62,0.73,1,역경성,https://umamusume.jp/character/silencesuzuka,https://namu.wiki/w/사일런스 스즈카(우마무스메 프리티 더비)
3,토카이 테이오,4,0.88,4,0.85,4,0.88,2,0.52,4,0.85,2,0.62,4,0.88,3,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,3,0.8,2,0.62,0.7147,1,기행성,https://umamusume.jp/character/tokaiteio,https://namu.wiki/w/토카이 테이오(우마무스메 프리티 더비)
4,마루젠스키,4,0.85,4,0.85,3,0.85,2,0.52,3,0.72,2,0.62,4,0.88,1,0.88,1,0.62,3,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.7007,1,기행성,https://umamusume.jp/character/maruzensky,https://namu.wiki/w/마루젠스키(우마무스메 프리티 더비)
5,후지 키세키,4,0.85,4,0.85,3,0.85,2,0.52,4,0.85,2,0.62,2,0.62,2,0.52,2,0.88,4,0.62,4,0.88,3,0.88,2,0.88,2,0.62,4,0.9,0.756,2,"기행성, 역경성",https://umamusume.jp/character/fujikiseki,https://namu.wiki/w/후지 키세키(우마무스메 프리티 더비)
6,오구리 캡,3,0.72,2,0.52,3,0.72,2,0.52,1,0.72,3,0.78,3,0.78,4,0.85,2,0.62,2,0.62,2,0.62,2,0.62,3,0.62,3,0.62,3,0.62,0.6633,2,"외향성, 기행성",https://umamusume.jp/character/oguricap,https://namu.wiki/w/오구리 캡(우마무스메 프리티 더비)
7,골드 쉽,4,0.85,4,0.88,3,0.85,4,0.88,4,0.88,1,0.85,3,0.62,1,0.72,0,0.9,4,0.9,1,0.9,1,0.62,0,0.9,2,0.62,1,0.85,0.8147,0,,https://umamusume.jp/character/goldship,https://namu.wiki/w/골드 쉽(우마무스메 프리티 더비)
8,보드카,3,0.72,3,0.72,3,0.85,2,0.52,2,0.52,3,0.78,2,0.62,2,0.52,2,0.62,4,0.9,2,0.62,2,0.62,2,0.62,4,0.9,2,0.62,0.6767,3,"기행성, 장난기, 역경성",https://umamusume.jp/character/vodka,https://namu.wiki/w/보드카(우마무스메 프리티 더비)
9,다이와 스칼렛,3,0.72,3,0.72,4,0.88,1,0.88,1,0.72,4,0.88,3,0.78,2,0.52,2,0.62,2,0.62,3,0.62,2,0.62,4,0.9,4,0.9,3,0.62,0.7333,1,역경성,https://umamusume.jp/character/daiwascarlet,https://namu.wiki/w/다이와 스칼렛(우마무스메 프리티 더비)
10,타이키 셔틀,4,0.88,4,0.88,3,0.85,2,0.52,4,0.85,2,0.62,3,0.78,1,0.72,0,0.62,4,0.62,3,0.8,0,0.9,2,0.62,2,0.62,2,0.62,0.7267,1,기행성,https://umamusume.jp/character/taikishuttle,https://namu.wiki/w/타이키 셔틀(우마무스메 프리티 더비)
11,그래스 원더,3,0.72,2,0.52,3,0.85,1,0.88,1,0.88,3,0.78,3,0.78,2,0.52,3,0.8,1,0.62,3,0.8,2,0.62,3,0.62,4,0.9,3,0.8,0.7393,2,"외향성, 역경성",https://umamusume.jp/character/grasswonder,https://namu.wiki/w/그래스 원더(우마무스메 프리티 더비)
12,히시 아마존,4,0.85,4,0.88,3,0.85,2,0.52,3,0.72,3,0.78,2,0.62,1,0.72,1,0.62,3,0.62,4,0.9,1,0.62,2,0.62,3,0.8,4,0.9,0.7347,1,기행성,https://umamusume.jp/character/hishiamazon,https://namu.wiki/w/히시 아마존(우마무스메 프리티 더비)
13,메지로 맥퀸,3,0.72,2,0.52,3,0.85,1,0.88,1,0.88,3,0.78,3,0.78,2,0.52,3,0.8,1,0.85,2,0.62,2,0.62,4,0.9,3,0.8,3,0.8,0.7547,2,"외향성, 역경성",https://umamusume.jp/character/mejiromcqueen,https://namu.wiki/w/메지로 맥퀸(우마무스메 프리티 더비)
14,엘 콘도르 파사,4,0.88,4,0.88,4,0.88,3,0.72,4,0.85,2,0.62,3,0.78,1,0.72,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,4,0.9,2,0.62,0.73,0,,https://umamusume.jp/character/elcondorpasa,https://namu.wiki/w/엘 콘도르 파사(우마무스메 프리티 더비)
15,티엠 오페라 오,4,0.85,4,0.88,4,0.88,4,0.85,4,0.85,2,0.62,3,0.78,1,0.88,0,0.62,4,0.62,1,0.85,1,0.62,2,0.62,3,0.62,1,0.62,0.744,0,,https://umamusume.jp/character/tmoperao,https://namu.wiki/w/티엠 오페라 오(우마무스메 프리티 더비)
16,나리타 브라이언,1,0.72,0,0.88,3,0.85,1,0.72,0,0.88,2,0.62,4,0.88,1,0.72,4,0.62,1,0.85,2,0.62,4,0.9,4,0.62,4,0.9,3,0.62,0.76,0,,https://umamusume.jp/character/naritabrian,https://namu.wiki/w/나리타 브라이언(우마무스메 프리티 더비)
17,심볼리 루돌프,3,0.72,3,0.72,4,0.88,1,0.88,1,0.88,2,0.62,4,0.88,1,0.88,4,0.9,0,0.9,3,0.62,2,0.62,4,0.9,3,0.62,4,0.9,0.7947,0,,https://umamusume.jp/character/symbolirudolf,https://namu.wiki/w/심볼리 루돌프(우마무스메 프리티 더비)
18,에어 그루브,2,0.52,2,0.52,3,0.85,1,0.88,1,0.88,3,0.78,3,0.78,2,0.52,3,0.8,1,0.62,2,0.62,2,0.62,4,0.9,3,0.62,4,0.9,0.7207,3,"명랑도, 외향성, 역경성",https://umamusume.jp/character/airgroove,https://namu.wiki/w/에어 그루브(우마무스메 프리티 더비)
19,아그네스 디지털,4,0.85,3,0.72,3,0.72,4,0.88,4,0.85,2,0.62,2,0.62,2,0.52,0,0.62,4,0.62,2,0.62,1,0.62,2,0.62,2,0.62,2,0.62,0.6747,1,역경성,https://umamusume.jp/character/agnesdigital,https://namu.wiki/w/아그네스 디지털(우마무스메 프리티 더비)
20,세이운 스카이,3,0.72,2,0.52,3,0.85,3,0.72,4,0.88,1,0.85,2,0.62,1,0.72,4,0.9,3,0.62,2,0.62,2,0.62,0,0.9,2,0.62,1,0.85,0.734,1,외향성,https://umamusume.jp/character/seiunsky,https://namu.wiki/w/세이운 스카이(우마무스메 프리티 더비)
21,타마모 크로스,4,0.85,4,0.88,3,0.85,3,0.72,4,0.85,4,0.88,2,0.62,4,0.88,0,0.62,3,0.8,2,0.62,1,0.62,2,0.62,3,0.8,2,0.62,0.7487,0,,https://umamusume.jp/character/tamamocross,https://namu.wiki/w/타마모 크로스(우마무스메 프리티 더비)
22,파인 모션,4,0.85,4,0.85,3,0.72,2,0.52,3,0.72,2,0.62,3,0.78,2,0.52,1,0.62,4,0.9,2,0.62,1,0.62,2,0.62,3,0.62,2,0.62,0.68,2,"기행성, 역경성",https://umamusume.jp/character/finemotion,https://namu.wiki/w/파인 모션(우마무스메 프리티 더비)
23,비와 하야히데,2,0.52,2,0.52,3,0.72,1,0.72,1,0.72,4,0.88,3,0.78,3,0.72,4,0.9,0,0.9,2,0.62,2,0.62,4,0.9,3,0.62,4,0.62,0.7173,2,"명랑도, 외향성",https://umamusume.jp/character/biwahayahide,https://namu.wiki/w/비와 하야히데(우마무스메 프리티 더비)
24,마야노 탑건,4,0.85,4,0.85,3,0.85,4,0.85,4,0.88,2,0.62,4,0.88,1,0.72,1,0.85,4,0.9,2,0.62,1,0.62,1,0.85,2,0.62,1,0.62,0.772,0,,https://umamusume.jp/character/mayanotopgun,https://namu.wiki/w/마야노 탑건(우마무스메 프리티 더비)
25,맨하탄 카페,0,0.88,0,0.88,2,0.52,4,0.85,1,0.72,2,0.62,2,0.62,3,0.72,3,0.62,1,0.85,1,0.62,4,0.9,3,0.62,3,0.62,2,0.62,0.7107,1,자기확신,https://umamusume.jp/character/manhattancafe,https://namu.wiki/w/맨하탄 카페(우마무스메 프리티 더비)
26,미호노 부르봉,2,0.52,1,0.72,3,0.72,2,0.52,0,0.88,4,0.88,2,0.62,3,0.72,4,0.9,0,0.9,2,0.62,3,0.62,4,0.62,3,0.62,3,0.8,0.7107,2,"명랑도, 기행성",https://umamusume.jp/character/mihonobourbon,https://namu.wiki/w/미호노 부르봉(우마무스메 프리티 더비)
27,메지로 라이언,3,0.72,3,0.72,1,0.88,1,0.72,2,0.52,3,0.78,2,0.62,3,0.72,2,0.62,2,0.62,3,0.8,1,0.62,2,0.62,2,0.62,2,0.62,0.68,1,장난기,https://umamusume.jp/character/mejiroryan,https://namu.wiki/w/메지로 라이언(우마무스메 프리티 더비)
