캐릭터명,PDB_MBTI,비고,PDB_카테고리
스페셜 위크,ENFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
골드 쉽,ENTP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
토카이 테이오,ESFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
사일런스 스즈카,INFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
라이스 샤워,INFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
슈퍼 크릭,ESFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
다이이치 루비,ISTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
골드 시티,ISFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
어드마이어 그루브,INTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
스틸 인 러브,INFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
그란 알레그리아,ENFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
로고타입,ISTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
젠노 롭 로이,INFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
메지로 라이언,ISFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
룰러쉽,INTP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
나이스 네이처,ISFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
뒤랑달,ISTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
에어 메사이어,ISFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
크로노 제네시스,INFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
히시 미라클,ISFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
야마닌 제퍼,ISFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
드림 저니,INTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
비와 하야히데,ESTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
부에나 비스타,ESFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
홋코 타루마에,ESFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
메이쇼 도토,INFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
나리타 브라이언,ISTP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
오르페브르,ENTJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
슈발 그랑,INFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
하루 우라라,ESFP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
그래스 원더,ISFJ,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
에어 샤커,ISTP,커뮤니티 투표 기반 보조 참고값,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=12159
